boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551512 Main     io_uring.cpp:123] io_uring[0]: register fd 9, 2 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551518 Main     buffer_pool.h:26] BufferPool[IOUring[0]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.902952 Main     buffer_pool.h:26] BufferPool[IOUring[1]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903000 IO-1/EL  thread.cpp:62] Start thread: IO-1/EL (tid=11)
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903068 IO-1/EL  io_worker.cpp:167] IO-1: Event loop starts
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903157 Main     io_uring.cpp:70] io_uring[2]: register 4096 fd slots
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903274 Main     io_uring.cpp:123] io_uring[2]: register fd 18, 1 registered fds in total
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903278 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903281 Main     io_uring.cpp:123] io_uring[2]: register fd 17, 2 registered fds in total
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903283 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903330 IO-2/EL  thread.cpp:62] Start thread: IO-2/EL (tid=14)
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903408 IO-2/EL  io_worker.cpp:167] IO-2: Event loop starts
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903498 Main     io_uring.cpp:70] io_uring[3]: register 4096 fd slots
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903615 Main     io_uring.cpp:123] io_uring[3]: register fd 22, 1 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551575 IO-0/EL  thread.cpp:62] Start thread: IO-0/EL (tid=8)
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551635 IO-0/EL  io_worker.cpp:167] IO-0: Event loop starts
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551785 Main     io_uring.cpp:70] io_uring[1]: register 4096 fd slots
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551906 Main     io_uring.cpp:123] io_uring[1]: register fd 14, 1 registered fds in total
